company,specification,asset_ticker,benchmark_ticker,observations,beta,alpha_weekly,alpha_annualized,r_squared,standard_error_beta,t_stat_beta,first_return_week,last_return_week
Sidetrade,Main,ALBFR.PA,^FCHI,104,0.17668190948166138,-0.00011909252929571008,-0.0061736755882185745,0.004386062249813774,0.2635724943724835,0.6703351573247723,2024-07-19,2026-07-10
BlackLine,Main,BL,^GSPC,104,0.7197199860009399,-0.006872201655593638,-0.3004755179209615,0.07039738584191665,0.25896071113435104,2.779263243633676,2024-07-19,2026-07-10
BILL,Main,BILL,^GSPC,104,1.5271244714938006,-0.006459797209120488,-0.2853121856154952,0.154768712078785,0.35336257326115694,4.32169275144247,2024-07-19,2026-07-10
nCino,Main,NCNO,^GSPC,104,1.550001087597493,-0.010355577298813754,-0.41637114447138324,0.23482927589869076,0.27703521040833606,5.5949606019858225,2024-07-19,2026-07-10
Workiva,Main,WK,^GSPC,104,0.7365002591919165,-0.005524191674101457,-0.24968185349206395,0.07227117013643315,0.26127677170548164,2.818850885153005,2024-07-19,2026-07-10
Sidetrade,Alternative benchmark,ALBFR.PA,^STOXX,104,0.056146171111084615,-0.00009782279159894835,-0.005073869380714302,0.0003533011781588124,0.29571324991379744,0.1898669441678776,2024-07-19,2026-07-10
BlackLine,Alternative benchmark,BL,^IXIC,104,0.4857181907185332,-0.006465699402027998,-0.2855314996766478,0.057092435155765564,0.19544724772636454,2.485162602026312,2024-07-19,2026-07-10
BILL,Alternative benchmark,BILL,^IXIC,104,1.0028829189141424,-0.0055021880069341025,-0.24882285511700575,0.11885437917934984,0.27037491644513895,3.7092306198368616,2024-07-19,2026-07-10
nCino,Alternative benchmark,NCNO,^IXIC,104,1.049477803332901,-0.009491877694244893,-0.3895614465831476,0.1916969362232999,0.213379502515917,4.918362780673442,2024-07-19,2026-07-10
Workiva,Alternative benchmark,WK,^IXIC,104,0.5112749376611693,-0.005157012351111698,-0.23521814467459534,0.062016708239387645,0.19687819287447905,2.596909948209124,2024-07-19,2026-07-10
