week_end,ALBFR.PA,ALBFR.PA_price_date,BL,BL_price_date,BILL,BILL_price_date,NCNO,NCNO_price_date,WK,WK_price_date,^FCHI,^FCHI_price_date,^GSPC,^GSPC_price_date,^IXIC,^IXIC_price_date,^STOXX,^STOXX_price_date
2024-07-12,175,2024-07-12,47.9900016784668,2024-07-12,51.2599983215332,2024-07-12,31.360000610351562,2024-07-12,74.33000183105469,2024-07-12,7724.31982421875,2024-07-12,5615.35009765625,2024-07-12,18398.44921875,2024-07-12,524.0800170898438,2024-07-12
2024-07-19,180,2024-07-19,46.77000045776367,2024-07-19,53.61000061035156,2024-07-19,31.979999542236328,2024-07-19,72.08999633789062,2024-07-19,7534.52001953125,2024-07-19,5505,2024-07-19,17726.939453125,2024-07-19,510.0299987792969,2024-07-19
2024-07-26,194,2024-07-26,47.81999969482422,2024-07-26,52.83000183105469,2024-07-26,33.540000915527344,2024-07-26,74.5199966430664,2024-07-26,7517.68017578125,2024-07-26,5459.10009765625,2024-07-26,17357.880859375,2024-07-26,512.8300170898438,2024-07-26
2024-08-02,192.5,2024-08-02,45.56999969482422,2024-08-02,46.77000045776367,2024-08-02,31.450000762939453,2024-08-02,72.19000244140625,2024-08-02,7251.7998046875,2024-08-02,5346.56005859375,2024-08-02,16776.16015625,2024-08-02,497.8500061035156,2024-08-02
2024-08-09,203,2024-08-09,51.65999984741211,2024-08-09,46.939998626708984,2024-08-09,32.099998474121094,2024-08-09,74.62000274658203,2024-08-09,7269.7099609375,2024-08-09,5344.16015625,2024-08-09,16745.30078125,2024-08-09,499.19000244140625,2024-08-09
2024-08-16,205,2024-08-16,51.560001373291016,2024-08-16,49.119998931884766,2024-08-16,34.2400016784668,2024-08-16,78.19999694824219,2024-08-16,7449.7001953125,2024-08-16,5554.25,2024-08-16,17631.720703125,2024-08-16,511.45001220703125,2024-08-16
2024-08-23,225,2024-08-23,50.83000183105469,2024-08-23,47.34000015258789,2024-08-23,35,2024-08-23,79.63999938964844,2024-08-23,7577.0400390625,2024-08-23,5634.60986328125,2024-08-23,17877.7890625,2024-08-23,518.1300048828125,2024-08-23
2024-08-30,200,2024-08-30,49.54999923706055,2024-08-30,54.560001373291016,2024-08-30,29.959999084472656,2024-08-30,78.16999816894531,2024-08-30,7630.9501953125,2024-08-30,5648.39990234375,2024-08-30,17713.619140625,2024-08-30,525.0499877929688,2024-08-30
2024-09-06,202,2024-09-06,47.91999816894531,2024-09-06,55.060001373291016,2024-09-06,30.049999237060547,2024-09-06,73.08999633789062,2024-09-06,7352.2998046875,2024-09-06,5408.419921875,2024-09-06,16690.830078125,2024-09-06,506.55999755859375,2024-09-06
2024-09-13,200,2024-09-13,50.0099983215332,2024-09-13,51.90999984741211,2024-09-13,29.389999389648438,2024-09-13,74.7300033569336,2024-09-13,7465.25,2024-09-13,5626.02001953125,2024-09-13,17683.98046875,2024-09-13,515.9500122070312,2024-09-13
2024-09-20,213,2024-09-20,51.97999954223633,2024-09-20,54.2599983215332,2024-09-20,30.440000534057617,2024-09-20,79.16000366210938,2024-09-20,7500.259765625,2024-09-20,5702.5498046875,2024-09-20,17948.3203125,2024-09-20,514.260009765625,2024-09-20
2024-09-27,229,2024-09-27,52.849998474121094,2024-09-27,53.18000030517578,2024-09-27,31.290000915527344,2024-09-27,80.4800033569336,2024-09-27,7791.7900390625,2024-09-27,5738.169921875,2024-09-27,18119.58984375,2024-09-27,528.0800170898438,2024-09-27
