date,open,high,low,close,adj_close,volume
2024-07-08,172,176,172,176,176,463
2024-07-09,177,178,173.5,173.5,173.5,176
2024-07-10,174,174.5,172,173,173,343
2024-07-11,174.5,176,174.5,176,176,72
2024-07-12,175.5,176,175,175,175,28
2024-07-15,175,176.5,174,174,174,113
2024-07-16,175.5,177,173,176,176,461
2024-07-17,176,179.5,176,178.5,178.5,1012
2024-07-18,179,181,178.5,181,181,490
2024-07-19,180.5,181,180,180,180,374
2024-07-22,180,190,180,186,186,794
2024-07-23,186,186,184.5,185,185,415
2024-07-24,186,186.5,185,186.5,186.5,84
2024-07-25,186.5,189,186.5,187,187,218
2024-07-26,188,194,186,194,194,772
2024-07-29,198,198,192,192.5,192.5,519
2024-07-30,192.5,195,192,192,192,1207
2024-07-31,192.5,195,190,193,193,398
2024-08-01,195,195,192,192,192,558
2024-08-02,194.5,195,192.5,192.5,192.5,3245
2024-08-05,192,193.5,184.5,188,188,581
2024-08-06,188,192,188,192,192,219
2024-08-07,191.5,192,190,190,190,345
2024-08-08,190,195,189.5,192.5,192.5,750
2024-08-09,193.5,203,193,203,203,681
2024-08-12,201,206,201,201,201,330
2024-08-13,200,204,200,203,203,187
2024-08-14,202,206,200,204,204,614
2024-08-15,204,206,201,205,205,334
2024-08-16,204,206,204,205,205,248
2024-08-19,209,219,209,217,217,3455
2024-08-20,217,217,213,217,217,320
2024-08-21,217,229,214,228,228,1432
2024-08-22,227,234,221,227,227,2510
2024-08-23,227,234,225,225,225,890
2024-08-26,225,226,221,221,221,713
2024-08-27,221,221,214,214,214,383
2024-08-28,216,217,205,207,207,925
2024-08-29,207,209,201,201,201,1183
2024-08-30,202,203,192,200,200,1924
2024-09-02,199,209,199,209,209,443
2024-09-03,209,209,205,206,206,144
2024-09-04,206,206,201,201,201,281
2024-09-05,202,202,197.5,202,202,392
2024-09-06,202,203,199.5,202,202,571
2024-09-09,202,204,192.5,192.5,192.5,1300
2024-09-10,195,204,195,199,199,763
2024-09-11,205,209,195,195,195,1524
2024-09-12,199,204,197,204,204,1166
2024-09-13,204,204,200,200,200,807
2024-09-16,202,202,195.5,200,200,443
2024-09-17,200,203,196,200,200,1876
2024-09-18,202,202,198,198,198,212
2024-09-19,199.5,209,197,209,209,2095
2024-09-20,211,220,209,213,213,2369
2024-09-23,212,222,212,220,220,746
2024-09-24,219,222,217,218,218,542
2024-09-25,220,222,219,220,220,339
2024-09-26,222,228,222,222,222,954
2024-09-27,223,229,222,229,229,1141
2024-09-30,230,230,223,224,224,3232
2024-10-01,225,225,214,215,215,1777
2024-10-02,216,218,214,215,215,295
2024-10-03,216,224,216,221,221,1468
2024-10-04,223,223,219,219,219,370
2024-10-07,220,224,220,223,223,1538
2024-10-08,223,225,220,224,224,619
2024-10-09,224,225,221,221,221,223
2024-10-10,223,228,221,228,228,248
2024-10-11,228,228,222,222,222,470
2024-10-14,224,226,213,214,214,2050
2024-10-15,214,224,214,222,222,1569
2024-10-16,217,225,216,225,225,3985
2024-10-17,225,228,225,225,225,521
2024-10-18,225,228,223,224,224,667
2024-10-21,225,240,225,235,235,4124
2024-10-22,237,238,234,236,236,3858
2024-10-23,237,237,223,225,225,936
2024-10-24,226,233,224,232,232,2098
2024-10-25,230,230,227,228,228,426
2024-10-28,225,225,222,224,224,2464
2024-10-29,225,232,220,220,220,1584
2024-10-30,220,222,218,220,220,374
2024-10-31,220,224,219,223,223,205
2024-11-01,222,224,217,221,221,543
2024-11-04,221,223,221,221,221,138
2024-11-05,221,225,221,224,224,150
2024-11-06,224,226,221,222,222,146
2024-11-07,222,223,221,222,222,94
2024-11-08,222,232,220,226,226,931
2024-11-11,228,231,225,225,225,206
2024-11-12,226,231,226,231,231,607
2024-11-13,232,242,232,235,235,1557
2024-11-14,235,235,225,225,225,715
2024-11-15,225,228.5,223,228,228,221
2024-11-18,227,227,225,227,227,812
2024-11-19,225,227,225,227,227,1099
2024-11-20,226,234,226,230,230,1508
2024-11-21,225,229,225,229,229,591
2024-11-22,228,229,226,227,227,117
2024-11-25,227,228,226,227,227,1578
2024-11-26,227,228,226,228,228,157
2024-11-27,227,227,224,225,225,503
2024-11-28,223,225,223,225,225,434
2024-11-29,224,227,224,224,224,387
2024-12-02,224,228,224,228,228,760
2024-12-03,227,228,222,222,222,2466
2024-12-04,222,224,217,219,219,543
2024-12-05,218,224,218,224,224,1248
2024-12-06,224,224,219,219,219,223
2024-12-09,220,222,218,221,221,308
2024-12-10,220,220,218,218,218,83
2024-12-11,218,220,218,219,219,143
